n00001740	entity
n13238375	stapelia, carrion flower, starfish flower
n13238654	Stapelias asterias
n13238828	genus Stephanotis
n13238988	stephanotis
n13239177	Madagascar jasmine, waxflower, Stephanotis floribunda
n13239471	Vincetoxicum, genus Vincetoxicum
n13239736	negro vine, Vincetoxicum hirsutum, Vincetoxicum negrum
n13239921	zygospore
n13240025	old growth, virgin forest
n13240203	second growth
n13240362	tree of knowledge
n13240514	ownership
n13240839	community
n13240971	severalty
n13241057	property right
n13241182	preemptive right
n13241407	subscription right
n13241600	option
n13241940	stock option
n13242239	stock option
n13242410	call option
n13242484	put option
n13242558	lock-up option
n13242719	tenure, land tenure
n13242923	copyhold
n13243134	freehold
n13243261	freehold
n13243374	villeinage
n13243466	stock buyback
n13243668	public domain
n13243780	proprietorship, proprietary
n13243991	employee ownership
n13244109	property, belongings, holding
n13244753	tangible possession, material possession
n13244881	worldly possessions, worldly belongings, worldly goods
n13245076	ratables, rateables
n13245217	hereditament
n13245338	intellectual property
n13245504	community property
n13245626	personal property, personal estate, personalty, private property
n13245846	chattel, personal chattel, movable
n13246079	effects, personal effects
n13246332	things
n13246475	real property, real estate, realty, immovable
n13246662	estate, land, landed estate, acres, demesne
n13247149	commonage
n13247228	glebe
n13247358	landholding
n13247445	landholding
n13247554	salvage
n13247712	shareholding
n13247818	spiritualty, spirituality, church property
n13247981	temporalty, temporality
n13248087	benefice, ecclesiastical benefice
n13248274	sinecure
n13248393	lease, rental, letting
n13248598	car rental, hire car, rent-a-car, self-drive, u-drive, you-drive
n13248792	trade-in
n13248928	sublease, sublet
n13249062	public property
n13249154	leasehold
n13249245	smallholding
n13249400	homestead
n13249599	farmstead
n13249699	homestead
n13249805	no man's land
n13249927	fief, feoff
n13250048	land
n13250244	mortmain, dead hand
n13250398	wealth
n13250542	money
n13250680	pile, bundle, big bucks, megabucks, big money
n13250930	estate
n13251154	stuff, clobber
n13251289	gross estate
n13251424	net estate
n13251715	life estate, estate for life
n13251906	barony
n13251980	countryseat
n13252062	Crown land
n13252168	manor
n13252293	seigneury, seigniory, signory
n13252395	hacienda
n13252513	plantation
n13252672	orangery
n13252853	white elephant
n13252973	transferred property, transferred possession
n13253255	acquisition
n13253423	accession, addition
n13253612	purchase
n13253751	bargain, buy, steal
n13254011	song
n13254105	travel bargain
n13254237	grant, assignment
n13254443	appanage, apanage
n13254697	land grant
n13254805	gain
n13254985	financial gain
n13255145	income
n13255562	disposable income
n13255713	double dipping
n13255883	easy money, gravy train
n13255994	EBITDA, Earnings Before Interest Taxes Depreciation and Amortization
n13256303	easy money
n13256434	tight money
n13256599	escheat
n13256691	gross, revenue, receipts
n13256894	national income
n13257098	gross national product, GNP
n13257354	real gross national product, real GNP
n13257511	gross domestic product, GDP
n13257792	deflator
n13257982	royalty
n13258167	box office
n13258269	gate
n13258362	net income, net, net profit, lucre, profit, profits, earnings
n13258825	paper profit
n13259013	paper loss
n13259199	cash flow
n13259359	personal income
n13259481	earning per share
n13259630	windfall profit
n13259797	killing, cleanup
n13259917	winnings, win, profits
n13260092	rental income
n13260190	return, issue, take, takings, proceeds, yield, payoff
n13260510	fast buck, quick buck
n13260645	filthy lucre
n13260762	gross profit, gross profit margin, margin
n13260936	gross sales, gross revenue, sales
n13261107	net sales
n13261242	margin of profit, profit margin, gross margin
n13261380	unearned income, unearned revenue
n13261597	unearned income, unearned revenue
n13261779	government income, government revenue
n13261916	tax income, taxation, tax revenue, revenue
n13262077	internal revenue
n13262200	per capita income
n13262335	stolen property
n13262462	spoil
n13262663	loot, booty, pillage, plunder, prize, swag, dirty money
n13262913	inheritance, heritage
n13263257	primogeniture
n13263375	borough English
n13263540	accretion
n13263779	bequest, legacy
n13263920	birthright, patrimony
n13264076	devise
n13264203	dower
n13264342	jointure, legal jointure
n13264522	free lunch
n13264688	heirloom
n13264794	heirloom
n13265011	gift
n13265425	dowry, dowery, dower, portion
n13265603	bride price
n13265749	largess, largesse
n13265904	aid, economic aid, financial aid
n13266170	scholarship
n13266348	fellowship
n13266515	foreign aid
n13266690	Marshall Plan, European Recovery Program
n13266892	grant
n13267014	subsidy
n13267263	subvention
n13267411	price support
n13267534	grant-in-aid
n13267687	postdoctoral, postdoc, post doc
n13267816	traineeship
n13268020	gratuity
n13268146	prize, award
n13268484	door prize
n13268683	jackpot
n13268758	prize money
n13268842	present
n13269054	birthday present, birthday gift
n13269186	Christmas present, Christmas gift
n13269318	stocking filler, stocking stuffer
n13269459	wedding present, wedding gift
n13269596	bride-gift
n13269683	cash surrender value
n13269890	contribution
n13270038	contribution, donation
n13270260	benefaction
n13270373	offering
n13270545	tithe
n13270648	offertory
n13270760	hearth money, Peter's pence
n13270906	political contribution, political donation
n13271094	soft money
n13271320	endowment, endowment fund
n13271498	enrichment
n13271631	patrimony
n13271705	chantry
n13271797	lagniappe
n13271937	bestowal, bestowment
n13272059	bounty, premium
n13272283	premium
n13272545	freebie, freebee
n13272712	giveaway
n13272860	gift horse
n13273050	thank offering
n13273154	bonus, incentive
n13273381	incentive program, incentive scheme
n13273550	deductible
n13273738	defalcation
n13273836	dividend
n13273949	sales incentive
n13274092	allowance, adjustment
n13274364	cost-of-living allowance
n13274487	depreciation allowance
n13274597	deduction, discount
n13274732	trade discount
n13274892	seasonal adjustment
n13275137	tare
n13275288	outgo, spending, expenditure, outlay
n13275495	expense, disbursal, disbursement
n13275847	cost
n13276330	business expense, trade expense
n13276519	interest expense
n13276604	lobbying expense
n13276778	medical expense
n13276913	non-cash expense
n13277056	moving expense
n13277179	operating expense, operating cost, overhead, budget items
n13277492	organization expense
n13277644	personal expense
n13277789	promotional expense
n13277886	expense
n13278100	transfer payment
n13278275	capital expenditure
n13278375	payment
n13279046	overpayment
n13279162	underpayment
n13279262	wage, pay, earnings, remuneration, salary
n13279809	combat pay
n13279913	double time
n13280008	found
n13280139	half-pay
n13280251	living wage
n13280373	merit pay
n13280515	minimum wage
n13280658	pay envelope, pay packet
n13280795	sick pay
n13280896	strike pay
n13280992	take-home pay
n13281130	subscription
n13281275	regular payment
n13281476	pay rate, rate of pay
n13281641	time and a half
n13281770	payment rate, rate of payment, repayment rate, installment rate
n13281925	blood money
n13282007	recompense
n13282161	refund
n13282275	rebate, discount
n13282419	rent-rebate
n13282550	compensation
n13282948	overcompensation
n13283033	workmen's compensation
n13283187	conscience money
n13283314	support payment
n13283485	palimony
n13283620	alimony, maintenance
n13283764	reward
n13283952	honorarium
n13284048	ransom, ransom money
n13284184	blood money
n13284283	guerdon
n13284356	meed
n13284442	hush money
n13284562	bribe, payoff
n13284784	kickback
n13284973	payola
n13285101	soap
n13285176	share, portion, part, percentage
n13285619	tranche
n13285714	dispensation
n13285855	dole
n13285973	way
n13286099	ration
n13286254	allowance
n13286524	slice, piece
n13286640	split
n13286801	interest, stake
n13287239	grubstake
n13287414	controlling interest
n13287540	insurable interest
n13287787	vested interest
n13287984	security interest
n13288206	terminable interest
n13288337	undivided interest, undivided right
n13288529	fee
n13288661	fee simple
n13288798	fee tail
n13288942	entail
n13289020	profit sharing
n13289159	cut
n13289306	rake-off, vigorish
n13289467	allotment, allocation
n13289630	reallocation
n13289744	quota
n13289845	appropriation
n13290002	reimbursement
n13290285	emolument
n13290566	blood money
n13290676	damages, amends, indemnity, indemnification, restitution, redress
n13290991	relief
n13291189	counterbalance, offset
n13291356	actual damages, compensatory damages, general damages
n13291614	nominal damages
n13291831	punitive damages, exemplary damages, smart money
n13292104	double damages
n13292244	treble damages
n13292390	reparation
n13292613	reparation
n13292787	atonement, expiation, satisfaction
n13292989	residual
n13293246	poverty line, poverty level
n13293377	allowance
n13293512	breakage
n13293625	costs
n13293752	per diem
n13293901	travel allowance, travel reimbursement
n13294029	mileage
n13294135	stipend
n13294302	privy purse
n13294403	prebend
n13294503	annuity, rente
n13294763	annuity in advance
n13295025	ordinary annuity
n13295183	reversionary annuity, survivorship annuity
n13295360	tontine
n13295657	rent
n13295972	ground rent
n13296089	peppercorn rent
n13296194	rack rent
n13296270	economic rent, rent
n13296460	payback
n13296593	installment plan, installment buying, time plan
n13296752	hire-purchase, never-never
n13296899	benefit
n13297097	cost-of-living benefit
n13297254	death benefit
n13297397	advance death benefit
n13297595	viatical settlement
n13297740	disability benefit
n13297850	sick benefit, sickness benefit
n13298011	fringe benefit, perquisite, perk
n13298287	appanage, apanage
n13298537	tax benefit, tax break
n13298701	gratuity, tip, pourboire, baksheesh, bakshish, bakshis, backsheesh
n13298935	Christmas box
n13299071	child support
n13299248	lump sum
n13299357	payoff, final payment
n13299453	remittance, remittal, remission, remitment
n13299651	repayment, quittance
n13299804	redemption
n13300025	token payment
n13300141	nonpayment, default, nonremittal
n13300324	delinquency
n13300411	default, nonpayment, nonremittal
n13300555	penalty
n13300711	pittance
n13300828	retribution, requital
n13300922	forfeit, forfeiture
n13301174	forfeit, forfeiture
n13301328	fine, mulct, amercement
n13301500	library fine
n13301620	premium, insurance premium
n13301715	installment
n13301835	cost overrun
n13302001	cost of living
n13302201	borrowing cost
n13302293	distribution cost
n13302467	handling cost, handling charge
n13302621	marketing cost
n13302775	production cost
n13302905	replacement cost
n13303045	reproduction cost, physical value
n13303214	unit cost
n13303315	price, terms, damage
n13303759	price
n13303880	markup
n13304009	asking price, selling price
n13304186	bid price
n13304340	closing price
n13304508	offer price
n13304665	upset price
n13304819	factory price
n13304927	highway robbery
n13305070	list price
n13305262	purchase price
n13305373	spot price, cash price
n13305510	support level
n13305673	valuation
n13305794	opportunity cost
n13305932	cost of capital, capital cost
n13306190	carrying cost, carrying charge
n13306346	portage
n13306436	incidental expense, incidental, minor expense
n13306669	travel expense
n13306870	charge
n13307370	carrying charge
n13307514	depreciation charge
n13307685	undercharge
n13307784	overcharge
n13307901	extortion
n13307995	corkage
n13308147	fare, transportation
n13308336	airfare
n13308432	bus fare, carfare
n13308543	cab fare, taxi fare
n13308650	subway fare
n13308750	train fare
n13308864	levy
n13308999	tax, taxation, revenue enhancement
n13309776	tax base
n13309865	tax rate
n13309956	tax liability
n13310091	single tax
n13310230	income tax
n13310415	bracket creep
n13310539	estimated tax
n13310727	FICA
n13310858	business deduction
n13310985	exemption
n13311217	entertainment deduction
n13311368	withholding tax, withholding
n13311573	PAYE, pay as you earn
n13311679	unearned increment
n13311830	capital gain
n13312010	capital loss
n13312190	capital gains tax
n13312329	capital levy
n13312434	departure tax
n13312569	property tax, land tax
n13312754	council tax
n13312962	franchise tax
n13313188	gift tax
n13313322	inheritance tax, estate tax, death tax, death duty
n13313464	direct tax
n13313591	tax advantage
n13313733	tax shelter, shelter
n13313899	indirect tax
n13314085	hidden tax
n13314226	capitation
n13314355	poll tax
n13314495	progressive tax, graduated tax
n13314652	proportional tax
n13314796	degressive tax
n13314936	rates
n13315077	poor rates
n13315191	stamp tax, stamp duty
n13315364	surtax, supertax
n13315518	pavage
n13315616	transfer tax
n13315743	tithe
n13315827	special assessment
n13315999	duty, tariff
n13316332	excise, excise tax
n13316568	sales tax, nuisance tax
n13316722	VAT, value-added tax, ad valorem tax
n13316905	gasoline tax
n13317002	customs, customs duty, custom, impost
n13317137	ship money
n13317269	tonnage, tunnage, tonnage duty
n13317422	octroi
n13317517	revenue tariff
n13317611	protective tariff
n13317759	anti-dumping duty
n13317858	import duty
n13317941	export duty
n13318024	countervailing duty
n13318147	fixed charge, fixed cost, fixed costs
n13318411	cover charge, cover
n13318584	interest
n13318804	compound interest
n13318934	simple interest
n13319032	interest rate, rate of interest
n13319253	discount rate, discount, bank discount
n13319415	bank rate
n13319512	discount rate
n13319726	base rate
n13319872	prime interest rate
n13320045	usury, vigorish
n13320168	fee
n13320691	anchorage
n13320766	cellarage
n13320860	commission
n13321081	contingency fee
n13321230	dockage, docking fee
n13321338	drop-off charge
n13321495	entrance fee, admission, admission charge, admission fee, admission price, price of admission, entrance money
n13321722	finder's fee
n13321992	legal fee
n13322113	licensing fee, license fee, license tax
n13322343	refresher
n13322520	lighterage
n13322641	lockage
n13322758	mintage
n13322867	moorage
n13322938	origination fee
n13323102	pipage
n13323207	poundage
n13323313	retainer, consideration
n13323460	quid pro quo, quid
n13323648	seigniorage
n13323749	toll
n13323885	truckage
n13323988	tuition, tuition fee
n13324188	wharfage, quayage
n13324297	agio, agiotage, premium, exchange premium
n13324427	demurrage
n13324609	installation charge
n13324710	porterage
n13324826	postage
n13324912	poundage
n13325010	rate, charge per unit
n13325382	water-rate
n13325505	surcharge
n13325722	single supplement
n13325847	service charge, service fee
n13326021	stowage
n13326103	tankage
n13326198	freight, freightage, freight rate
n13326450	rate of depreciation, depreciation rate
n13326620	rate of exchange, exchange rate
n13326772	excursion rate
n13326871	footage
n13326975	linage, lineage
n13327136	room rate
n13327231	loss, red ink, red
n13327503	squeeze
n13327676	loss
n13327896	financial loss
n13328073	sacrifice
n13328273	wastage
n13328357	depreciation, wear and tear
n13328578	straight-line method, straight-line method of depreciation
n13328853	write-off, write-down
n13329047	tax write-off, tax deduction, deduction
n13329322	losings, losses
n13329489	circumstances
n13329641	assets
n13330168	payables
n13330283	receivables
n13330425	crown jewel
n13330591	deep pocket
n13330764	reserve assets
n13330941	special drawing rights, paper gold
n13331198	sum, sum of money, amount, amount of money
n13331634	figure
n13331778	resource
n13332009	natural resource, natural resources
n13332197	labor resources
n13332290	land resources
n13332395	mineral resources
n13332500	renewable resource
n13332670	intangible, intangible asset
n13332820	good will, goodwill
n13333047	liquid assets, current assets, quick assets
n13333237	investment, investment funds
n13333420	equity
n13333546	sweat equity
n13333696	equity
n13333833	stock
n13334307	stockholding
n13334492	stockholding, stockholdings
n13334650	capital stock
n13334767	blue chip, blue-chip stock
n13335008	classified stock
n13335172	common stock, common shares, ordinary shares
n13335521	stock of record
n13335635	par value, face value, nominal value
n13335808	no-par-value stock, no-par stock
n13335974	preferred stock, preferred shares, preference shares
n13336204	cumulative preferred, cumulative preferred stock
n13336368	float
n13336492	common stock equivalent
n13336650	control stock
n13336770	growth stock
n13336933	hot stock, hot issue
n13337050	penny stock
n13337146	book value
n13337322	market value, market price
n13337471	bond issue
n13337634	convertible bond
n13337770	corporate bond
n13338066	coupon bond, bearer bond
n13338234	government bond
n13338439	junk bond, high-yield bond
n13338657	municipal bond
n13338780	noncallable bond
n13338960	performance bond, surety bond
n13339189	post-obit bond
n13339325	registered bond
